ID;CHURN;START_DATE;DUREE;PREPAID;FIN_STATE;COUNT_PAYMENT_DELAYS_CURRENT;COUNT_PAYMENT_DELAYS_1YEAR;DAYS_PAYMENT_DELAYS_CURRENT;DAYS_PAYMENT_DELAYS_1YEAR;COMPLAINT_1WEEK;COMPLAINT_2WEEKS;COMPLAINT_1MONTH;COMPLAINT_3MONTHS;COMPLAINT_6MONTHS;CLV;COUNT_OFFNET_CALLS_1WEEK;COUNT_ONNET_CALLS_1WEEK;AVG_DATA_3MONTH;COUNT_CONNECTIONS_3MONTH;AVG_DATA_1MONTH;COUNT_SMS_INC_ONNET_6MONTH;COUNT_SMS_OUT_OFFNET_6MONTH;COUNT_SMS_INC_OFFNET_1MONTH;COUNT_SMS_INC_OFFNET_WKD_1MONTH;COUNT_SMS_INC_ONNET_1MONTH;COUNT_SMS_INC_ONNET_WKD_1MONTH;COUNT_SMS_OUT_OFFNET_1MONTH;COUNT_SMS_OUT_OFFNET_WKD_1MONTH;COUNT_SMS_OUT_ONNET_1MONTH;COUNT_SMS_OUT_ONNET_WKD_1MONTH;AVG_MINUTES_INC_OFFNET_1MONTH;AVG_MINUTES_INC_ONNET_1MONTH;MINUTES_INC_OFFNET_WKD_1MONTH;MINUTES_INC_ONNET_WKD_1MONTH;AVG_MINUTES_OUT_OFFNET_1MONTH;AVG_MINUTES_OUT_ONNET_1MONTH;MINUTES_OUT_OFFNET_WKD_1MONTH;MINUTES_OUT_ONNET_WKD_1MONTH
10002;0;18-08-98;0;0;NA;0;1;0;2;0;0;0;0;0;26211,83;19;73;13279;2;9147;324;2;0;0;135;39;0;0;39;10;207,75;11,63933333;12,93166667;48,31666667;83,38333333;1154,85;41,33333333;471,3
10003;0;07-09-98;20;0;NA;0;4;0;17;0;0;0;0;1;50216,32;54;21;NA;NA;NA;577;182;15;2;84;28;28;0;15;6;26,97666667;62,38333333;57,56666667;9,4;37,46333333;41,91666667;77,51666667;79,16666667
10004;0;10-09-98;23;0;NA;0;1;0;63;0;0;0;1;1;21844,83;60;8;119077421;99;69781988;490;832;22;0;96;16;12;0;11;3;182,4;44,43333333;21,98333333;13,66666667;17,06833333;39,1;19,46666667;1,35
10005;0;30-10-98;73;0;NA;0;2;0;5;0;0;0;0;0;23751,33;24;5;1097966;8;0;116;161;7;2;30;7;22;4;6;1;90,88333333;86,83333333;13,9;0,016666667;90,46666667;82,16666667;29,66666667;0,016666667
10006;0;14-11-98;88;0;NA;0;0;0;0;2;0;0;2;2;18511,62;33;28;3976;1;0;328;12;0;0;110;9;2;0;32;3;14,02833333;10,68666667;33,76666667;36,83333333;12,85;105,35;1,1;34,66666667
10008;1;18-11-98;92;0;0;0;3;0;37;1;0;0;2;2;30965,34;72;48;5030136442;99;1533711575;708;304;109;2;138;48;93;4;7;4;218,4333333;117,25;47,35;68,21666667;167,3166667;93,01666667;24,73333333;66,65
10007;1;18-11-98;92;0;0;0;4;0;46;0;0;0;0;0;12738,18;17;22;334623864;138;156588933;373;30;28;0;56;9;24;0;11;2;91,11666667;75,13333333;2,566666667;4,5;28,86666667;52,83333333;0,5;5,216666667
10009;0;26-11-98;100;0;NA;0;2;0;22;0;0;0;3;3;17453,76;16;13;2995222254;42;2914530390;308;1132;0;0;58;23;6;0;12;5;14,02333333;59,61666667;89,46666667;61,41666667;92,18333333;55,88333333;43,28333333;61,26666667
10010;0;22-12-98;126;0;NA;0;5;0;36;0;0;0;0;0;26862,31;37;12;NA;NA;NA;60;36;12;0;6;0;10;2;0;0;384,5;54,03333333;0;0,166666667;10,39333333;52,98333333;5,65;0
10011;0;08-01-99;143;0;NA;0;0;0;0;0;0;0;0;1;30730,16;38;14;5513652768;96;1911245358;40;135;12;4;6;0;30;10;0;0;20,85333333;36,3;24,7;23,66666667;19,79166667;32,01666667;81,83333333;0
10012;0;20-01-99;155;0;NA;0;5;0;34;0;0;0;0;0;15207,51;37;17;8142850;10;149904;362;202;72;16;58;10;53;10;25;7;76,08333333;38,58333333;13,01666667;52,16666667;35,7;37,3;10,45;50,16666667
10013;0;09-02-99;175;0;NA;0;1;0;2;0;0;0;0;0;28445,04;28;19;197040632;187;45818849;80;16;0;0;12;2;8;2;0;0;13,71166667;58,41666667;34,91666667;87,16666667;92,38333333;58,53333333;11,58333333;87,16666667
10014;0;03-03-99;197;0;NA;0;0;0;0;0;0;0;0;0;15051,47;4;16;NA;NA;NA;220;47;4;0;42;0;12;0;7;0;43,01666667;54,11666667;12,73333333;18,4;55,95;60,35;14,66666667;21,63333333
10015;1;29-04-99;254;0;0;0;6;0;41;0;0;0;0;0;34096,23;25;17;1115380273;94;259335207;405;261;12;4;54;4;14;0;10;1;130,3333333;45,41666667;10,75;2,683333333;152,4166667;42,81666667;3,466666667;2,65
10016;0;24-08-99;371;0;NA;0;0;0;0;0;0;0;0;1;25437,49;36;10;1096096;9;32738;130;254;112;29;20;1;29;1;4;0;19,07833333;58,63333333;49,78333333;24,66666667;118,7;56,9;36,6;24,66666667
10017;0;10-09-99;388;0;NA;0;3;0;9;0;0;0;0;0;14307,32;8;49;NA;NA;NA;159;10;2;0;26;10;2;0;5;3;25,95;11,58666667;18,73333333;52,48333333;24,98333333;11,52833333;5,9;52,3
10018;0;23-09-99;401;0;NA;0;2;0;7;0;0;0;0;0;18395,39;22;7;871;1;0;127;8;2;0;12;2;4;0;1;0;94,18333333;21,28333333;10,38333333;0;32,08333333;19,95;92,16666667;0
10021;0;22-10-99;430;0;NA;0;3;0;10;0;0;0;0;0;25430,42;0;1;2430609040;42;0;277;17;0;0;30;10;0;0;0;0;0;33,96666667;0;86,16666667;58,68333333;25,85;0,266666667;84,66666667
10023;0;22-11-99;461;0;NA;0;5;0;31;0;0;0;0;0;31978,69;40;30;NA;NA;NA;316;15;0;0;24;2;4;0;2;0;46,86666667;53,88333333;26,13333333;19,21666667;64,61666667;49,25;11,41666667;19,21666667
10024;0;24-11-99;463;0;NA;0;1;0;1;0;0;0;0;0;16626,94;2;2;NA;NA;NA;43;42;0;0;0;0;0;0;0;0;13,41666667;67,83333333;36,45;20,61666667;28,61666667;46,83333333;10,85;37,33333333
10025;0;27-11-99;466;0;NA;0;3;0;33;0;0;0;0;0;26496,63;53;20;NA;NA;NA;197;48;0;0;24;4;10;0;4;0;300,5;49,55;26,01666667;7,25;19,84166667;52,58333333;25,51666667;70,83333333
10026;0;30-11-99;469;0;NA;0;0;0;0;0;0;0;1;1;25140,67;8;19;97911528;45;82688726;352;415;3;2;69;15;14;4;20;4;12,69333333;10,99333333;15,51666667;22,83333333;49,25;11,37666667;86,33333333;16,45
10029;0;01-03-00;561;0;NA;0;0;0;0;0;0;0;0;1;23216,17;10;57;60658;1;60658;540;42;0;0;94;14;14;0;6;0;82,98333333;274,95;50,05;97,65;84,8;274,35;28,23333333;94,63333333
